coverage	n
1	5726
2	4250
3	432
4	540
5	473
6	408
7	235
8	442
9	286
10	366
11	307
12	379
13	358
14	611
15	420
16	341
17	587
18	354
19	425
20	357
21	487
22	377
23	322
24	448
25	349
26	411
27	481
28	456
29	414
30	367
31	411
32	494
33	425
34	459
35	618
36	438
37	525
38	656
39	597
40	630
41	645
42	656
43	714
44	759
45	804
46	978
47	1106
48	1271
49	1303
50	1256
51	1426
52	1739
53	2064
54	2231
55	2748
56	3197
57	3907
58	4733
59	5377
60	6628
61	7725
62	9329
63	11294
64	13159
65	16017
66	18280
67	21646
68	23988
69	28083
70	31629
71	36409
72	41409
73	46452
74	51119
75	56162
76	61744
77	67367
78	74915
79	81533
80	87473
81	94118
82	101035
83	106071
84	111277
85	116119
86	120076
87	122198
88	127159
89	130253
90	131802
91	133104
92	134104
93	132519
94	131702
95	130391
96	128498
97	124990
98	122211
99	116867
100	112567
101	107826
102	104232
103	98315
104	93775
105	88178
106	82278
107	76264
108	71126
109	66013
110	60567
111	55201
112	50141
113	45468
114	41070
115	36315
116	32947
117	28944
118	25967
119	23076
120	20705
121	17780
122	15992
123	13635
124	11777
125	10123
126	9075
127	7767
128	6655
129	5552
130	4783
131	4058
132	3261
133	2688
134	2241
135	1837
136	1622
137	1366
138	1214
139	945
140	858
141	685
142	579
143	508
144	413
145	354
146	298
147	211
148	226
149	196
150	145
151	111
152	104
153	158
154	101
155	82
156	106
157	104
158	95
159	96
160	72
161	92
162	55
163	58
164	62
165	81
166	61
167	64
168	55
169	83
170	71
171	77
172	62
173	67
174	57
175	81
176	98
177	73
178	102
179	90
180	85
181	93
182	112
183	101
184	99
185	126
186	124
187	105
188	118
189	108
190	146
191	124
192	153
193	160
194	121
195	89
196	121
197	119
198	116
199	98
200	77
201	73
202	68
203	75
204	74
205	61
206	56
207	80
208	61
209	72
210	62
211	75
212	78
213	62
214	55
215	71
216	43
217	34
218	50
219	50
220	46
221	45
222	56
223	44
224	22
225	28
226	27
227	27
228	20
229	8
230	14
231	6
232	8
233	6
234	5
235	9
236	1
237	3
238	0
239	0
240	0
241	0
242	1
243	0
244	0
245	1
246	1
247	1
248	2
249	2
250	2
251	3
252	1
253	1
254	3
255	0
256	0
257	3
258	0
259	6
260	1
261	3
262	3
263	2
264	1
265	1
266	2
267	1
268	1
269	1
270	2
271	7
272	1
273	3
274	1
275	2
276	5
277	5
278	5
279	2
280	6
281	7
282	0
283	2
284	4
285	17
286	9
287	4
288	5
289	10
290	4
291	3
292	3
293	5
294	4
295	2
296	3
297	5
298	2
299	3
300	7
301	17
302	0
303	1
304	0
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	1
313	3
314	5
315	1
316	3
317	0
318	3
319	1
320	1
321	0
322	2
323	0
324	1
325	0
326	1
327	3
328	1
329	1
330	2
331	1
332	1
333	0
334	0
335	0
336	0
337	1
338	2
339	1
340	2
341	2
342	5
343	6
344	0
345	1
346	1
347	1
348	1
349	0
350	0
351	1
352	1
353	0
354	0
355	1
356	1
357	1
358	1
359	1
360	0
361	0
362	1
363	3
364	4
365	0
366	0
367	1
368	0
369	0
370	0
371	1
372	1
373	0
374	2
375	1
376	1
377	0
378	2
379	1
380	0
381	0
382	1
383	1
384	0
385	3
386	2
387	6
388	9
389	1
390	2
391	0
392	2
393	0
394	0
395	2
396	0
397	3
398	0
399	1
400	0
401	0
402	1
403	0
404	0
405	2
406	1
407	0
408	3
409	0
410	3
411	0
412	0
413	0
414	2
415	0
416	0
417	0
418	0
419	1
