coverage	n
1	2762
2	3254
3	356
4	384
5	275
6	495
7	530
8	374
9	438
10	293
11	395
12	260
13	494
14	476
15	412
16	314
17	429
18	450
19	392
20	327
21	351
22	413
23	430
24	459
25	599
26	349
27	417
28	455
29	482
30	516
31	502
32	477
33	485
34	505
35	545
36	609
37	614
38	679
39	790
40	784
41	841
42	979
43	1035
44	1103
45	1351
46	1412
47	1710
48	1788
49	2139
50	2646
51	2960
52	3478
53	4247
54	5398
55	6389
56	8102
57	9280
58	11279
59	13646
60	15950
61	19007
62	22273
63	26866
64	30834
65	36019
66	41888
67	47641
68	54286
69	60991
70	68154
71	74324
72	82728
73	88882
74	96853
75	105064
76	111756
77	118085
78	124730
79	130887
80	135210
81	138245
82	142307
83	143792
84	144341
85	144496
86	144541
87	143022
88	140112
89	136880
90	134869
91	128243
92	122224
93	116469
94	110193
95	103897
96	97741
97	90994
98	84770
99	78097
100	71411
101	63998
102	58637
103	53276
104	48019
105	42500
106	37450
107	33091
108	29807
109	25471
110	22280
111	19078
112	16359
113	14472
114	12323
115	10541
116	8993
117	7678
118	6526
119	5467
120	4475
121	3632
122	2900
123	2488
124	2030
125	1726
126	1334
127	1075
128	815
129	635
130	592
131	424
132	312
133	248
134	230
135	156
136	137
137	87
138	85
139	89
140	54
141	49
142	35
143	31
144	23
145	25
146	40
147	30
148	21
149	25
150	21
151	15
152	17
153	16
154	24
155	23
156	16
157	13
158	13
159	16
160	34
161	24
162	33
163	19
164	10
165	13
166	11
167	18
168	9
169	7
170	17
171	10
172	14
173	8
174	6
175	9
176	2
177	4
178	9
179	16
180	13
181	16
182	17
183	9
184	10
185	9
186	2
187	6
188	8
189	8
190	3
191	9
192	2
193	6
194	7
195	6
196	9
197	7
198	6
199	4
200	5
201	9
202	6
203	18
204	16
205	9
206	8
207	7
208	8
209	6
210	2
211	1
212	5
213	6
214	3
215	9
216	3
217	5
218	7
219	7
220	7
221	6
222	3
223	1
224	1
225	3
226	0
227	3
228	0
229	3
230	1
231	1
232	3
233	4
234	1
235	1
236	5
237	0
238	2
239	1
240	0
241	1
242	1
243	0
244	1
245	0
246	2
247	1
248	2
249	1
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	3
260	0
261	1
262	0
263	2
264	4
265	4
266	5
267	2
268	3
269	4
270	1
271	3
272	2
273	2
274	3
275	1
276	0
277	2
278	0
279	6
280	1
281	2
282	1
283	1
284	0
285	0
286	2
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	1
297	1
298	0
299	1
300	0
301	1
302	1
